,country,0,negative,positive,neutral
153,norway,237,88.0,78.0,71.0
154,oman,20,6.0,3.0,11.0
155,pakistan,825,270.0,292.0,263.0
156,palau,2,1.0,0.0,1.0
157,palestinian territory,23,5.0,10.0,8.0
158,panama,1109,383.0,333.0,393.0
159,papua new guinea,33,19.0,6.0,8.0
160,paraguay,25,5.0,13.0,7.0
161,peru,145,51.0,48.0,46.0
162,philippines,1598,579.0,510.0,509.0
163,pitcairn,1,1.0,0.0,0.0
164,poland,150,49.0,32.0,69.0
165,portugal,187,66.0,39.0,82.0
166,puerto rico,112,50.0,23.0,39.0
167,qatar,84,25.0,23.0,36.0
168,republic of the congo,4,3.0,1.0,0.0
169,reunion,2,0.0,2.0,0.0
170,romania,47,19.0,14.0,14.0
171,russia,131,57.0,38.0,36.0
172,rwanda,29,14.0,8.0,7.0
173,saint helena,6,3.0,2.0,1.0
174,saint kitts and nevis,1,1.0,0.0,0.0
175,saint lucia,18,9.0,1.0,8.0
176,saint pierre and miquelon,2,0.0,1.0,1.0
177,saint vincent and the grenadines,10,4.0,0.0,6.0
178,samoa,3,2.0,1.0,0.0
179,san marino,3,1.0,0.0,2.0
180,sao tome and principe,287,99.0,109.0,79.0
181,saudi arabia,146,47.0,52.0,47.0
182,senegal,8,3.0,2.0,3.0
183,serbia,22,7.0,6.0,9.0
184,seychelles,327,100.0,91.0,136.0
185,sierra leone,24,9.0,6.0,9.0
186,singapore,537,205.0,128.0,204.0
187,sint maarten,2,0.0,0.0,2.0
188,slovakia,20,7.0,8.0,5.0
189,slovenia,11,6.0,1.0,4.0
190,solomon islands,1,0.0,0.0,1.0
191,somalia,198,80.0,51.0,67.0
192,south africa,1051,358.0,361.0,332.0
193,south korea,159,63.0,40.0,56.0
194,south sudan,32,14.0,8.0,10.0
195,spain,820,320.0,234.0,266.0
196,sri lanka,116,45.0,16.0,55.0
197,sudan,83,25.0,34.0,24.0
198,suriname,1,1.0,0.0,0.0
199,svalbard and jan mayen,6,4.0,1.0,1.0
200,swaziland,2,2.0,0.0,0.0
201,sweden,260,102.0,58.0,100.0
202,switzerland,553,171.0,170.0,212.0
203,syria,6,2.0,3.0,1.0
204,taiwan,150,41.0,45.0,64.0
205,tajikistan,1,0.0,1.0,0.0
206,tanzania,34,12.0,15.0,7.0
207,thailand,325,123.0,78.0,124.0
208,togo,11,2.0,4.0,5.0
209,tonga,209,77.0,78.0,54.0
210,trinidad and tobago,102,35.0,33.0,34.0
211,tunisia,402,166.0,111.0,125.0
212,turkey,2895,1133.0,848.0,914.0
213,turkmenistan,15,7.0,5.0,3.0
214,turks and caicos islands,2,0.0,2.0,0.0
215,tuvalu,7,2.0,3.0,2.0
216,u.s. virgin islands,2,1.0,1.0,0.0
217,uganda,164,53.0,60.0,51.0
218,ukraine,58,13.0,20.0,25.0
219,united arab emirates,435,138.0,132.0,165.0
220,united kingdom,18356,6985.0,6043.0,5328.0
221,uruguay,36,23.0,6.0,7.0
222,us,67122,25400.0,20150.0,21572.0
223,uzbekistan,2,1.0,0.0,1.0
224,vanuatu,1,1.0,0.0,0.0
225,vatican,8,0.0,5.0,3.0
226,venezuela,332,92.0,89.0,151.0
227,vietnam,79,30.0,15.0,34.0
228,western sahara,2,1.0,0.0,1.0
229,yemen,28,15.0,5.0,8.0
230,zambia,19,6.0,9.0,4.0
231,zimbabwe,74,26.0,22.0,26.0
