,Positive,Negative
0,1,3
1,Article source de cette information: Secret Chinese Military Data Adds New Detail to Coronavirus Reporting ,
2,"Data Leak Suggests China Had Hundreds of Thousands of Coronavirus Cases in 230 Cities https://www.nationalreview.com/corner/data-leak-china-had-at-least-640000-coronavirus-cases-in-230-cities/ ""at Least 640,000 Coronavirus Cases""",
3,South Korean official in charge of '#coronavirus outbreak' commits suicide #covid19 ,
4,"More Than 1,700 Health Workers In China Have Been Infected With New Coronavirus https://www.npr.org/sections/goatsandsoda/2020/02/14/805972077/more-than-1-700-health-workers-in-china-have-been-infected-with-new-coronavirus … #covid19",
