,Positive,Negative
0,0,3
1,"Thailand has confirmed the second case of new coronavirus from China's Wuhan. The patient is the Chinese tourist, female  74 years old, having arrived at Suvarnabhumi Airport on Jan 13. pic.twitter.com/sIYIVWWZzY","""Human-to-Human "" There are times of fear and hope. Nature can offer both beauty and cruelty. #Coronavirus (2019-nCoV) Mind emerging understandings of the deadly virus - a global health emergency. Death is near only the masks. #nCovpic.twitter.com/9Ujly6rJ2V"
2,RT @TheTerminal: Careful analysis reveals that high ESG (and particularly Governance) ratings provided a small benefit to bond portfolios d…,RT @EricTopol: The devastating #COVID19 destruction of lungs in a young woman in her 20s and the (1st) double lung transplant to save her l…
3,"RT @SkyNews: ""This all feels like we're just skipping straight to adulthood"" 

We've all been thrown into the unknown as a result of #coron…","RT @goKDIGO: Reminder: Don't miss the KDIGO Glomerulonephritis webinar, ""New Guidelines and Management of GN During Covid-19,"" on Tuesday,…"
