,Positive,Negative
0,1,0
1,Trump takes victory lap over handling of coronavirus https://www.washingtontimes.com/news/2020/feb/14/trump-takes-victory-lap-over-handling-coronavirus/ …,
2,"Trump says coronavirus is ‘under control’, stock market looks ‘very  good’ https://nypost.com/2020/02/24/trump-says-coronavirus-is-under-control-stock-market-looks-very-good/?utm_campaign=iosapp&utm_source=twitter_app …",
