,Positive,Negative
0,1,3
1,"Fifth case of #coronavirus confirmed in #Germany. 3 confirmed patients in #US, all in good condition. Some patients with the virus have been found in #Iran,but authorities are trying to hide the information from people, same way #China has been trying to hide the whole truth!",Cold virus is the lay term for coronavirus family of viruses... and I am a physician who practices hospital medicine so Yes I know a few things about hospitals
2,#Republicans storm out of coronavirus briefing after #Democrats rip Trump's response... Can the #Dems check their #prejudice for #DonaldTrump at door? Seriously! #CoronaVirusUpdates #COVID19US #COVID19 #Wuhan #WuhanCoronavirus,
3,"Were they released in YOUR STATE
Wow, explosive stuff from @washingtonpost colleagues: 
the @CDCgov was so OPPOSED to allowing Americans INFECTED with coronavirus flying home from Japan on the same flight as the UNINFECTED that they demanded to be left out of the news release https://twitter.com/FrankFigliuzzi1/status/1230908442417586176 …",
