,Positive,Negative
0,0,1
1,Notice the magic number 15% and whats the Corona virus fatality rate? 15%! This is globalists conspiring in my opinion,
2,"RT @Rozkez67: Wow, Johnson disbanded the Cabinet pandemic team six months before Corona Virus hit the UK (to focus on Brexit)!.",
