,Positive,Negative
0,4,1
1,Washington Public Elementary School Educator Accused of Sexually Assaulting Two Boys at Coronavirus Childcare Center https://www.thegatewaypundit.com/2020/04/washington-public-elementary-school-educator-accused-sexually-assaulting-two-boys-coronavirus-childcare-center/?utm_source=Twitter&amp;utm_campaign=websitesharingbuttons via @gatewaypundit,"""This Would be a Terrible Crisis to Waste"" - Hillary Clinton Admits Dems Are Using Coronavirus to Advance Radical Socialist Agenda (VIDEO) https://www.thegatewaypundit.com/2020/04/terrible-crisis-waste-hillary-clinton-admits-dems-using-coronavirus-advance-radical-socialist-agenda-video/?utm_source=Twitter&amp;utm_campaign=websitesharingbuttons via @gatewaypundit"
2,"THE BAD NEWS: Dr. Fauci Says ""It's Inevitable"" the Coronavirus Will Return - THE GOOD NEWS: He's Wrong About Most Everything (VIDEO) https://www.thegatewaypundit.com/2020/04/bad-news-dr-fauci-says-inevitable-coronavirus-will-return-good-news-wrong-everything-video/?utm_source=Twitter&amp;utm_campaign=websitesharingbuttons via @gatewaypundit",American Farmer Sends Dire Warning In Viral Video: “Our Food Supply Is In Trouble” Because Of Coronavirus Lockdowns https://www.thegatewaypundit.com/2020/04/american-farmer-sends-dire-warning-viral-video-food-supply-trouble-coronavirus-lockdowns/?utm_source=Twitter&amp;utm_campaign=websitesharingbuttons via @gatewaypundit
3,Ugh. Nasty Mitt Romney Slams President Trump's Handling of Coronavirus... Will He Campaign for Democrats? https://www.thegatewaypundit.com/2020/04/ugh-nasty-mitt-romney-slams-president-trumps-handling-coronavirus-will-campaign-democrats/?utm_source=Twitter&amp;utm_campaign=websitesharingbuttons via @gatewaypundit,
4,The Netherlands Joins Switzerland: Will Reopen Schools Based on Findings that Children are Not at Risk of Coronavirus and Not Carriers https://www.thegatewaypundit.com/2020/04/netherlands-joins-switzerland-will-reopen-schools-based-findings-children-not-risk-coronavirus-not-carriers/?utm_source=Twitter&amp;utm_campaign=websitesharingbuttons via @gatewaypundit,
5,Breaking: Trump White House Orders Intelligence Agencies to Comb Communications on China-World Health Organization Collusion on Coronavirus https://www.thegatewaypundit.com/2020/04/breaking-trump-white-house-orders-intelligence-agencies-comb-communications-china-world-health-organization-collusion-coronavirus/?utm_source=Twitter&amp;utm_campaign=websitesharingbuttons via @gatewaypundit,
6,CHINA Stole Remdesivir from Gilead then Tried to Patent the Drug in January -- Knowing Months Ago It Would Treat Coronavirus and Trying to Make Money off the Pandemic https://www.thegatewaypundit.com/2020/04/china-stole-remdesivir-gilead-tried-patent-drug-january-knowing-months-ago-treat-coronavirus-trying-make-money-off-pandemic/?utm_source=Twitter&amp;utm_campaign=websitesharingbuttons via @gatewaypundit,
