,Positive,Negative
0,1,3
1,Press Freedom in the Age of the Coronavirus | Asia Society ,Wuhan Coronavirus and the Tacitus Trap - 
2,Market Views: How will the coronavirus infect markets? - ,Coronavirus: Chinese consul general in New York thanks NBA for its donation to help fight outbreak | South China Morning Post https://www.scmp.com/news/china/diplomacy/article/3049014/coronavirus-chinese-consul-general-new-york-thanks-nba-its …
