,Positive,Negative
0,0,1
1,"Basic protective measures against the new coronavirus (COVID-19)
STAY HEALTHY GOD BLESS YOU. pic.twitter.com/8bHIU1HRzV",Basic protective measures against the new coronavirus (COVID-19) pic.twitter.com/Rdvy65mAcm
