,Positive,Negative
0,1,4
1,"cheerleading major at fsu, right? #Covid19",I cannot be depressed any longer. I will NOT be depressed any longer. What will be will be. #coronavirus #COVID19
2,Friday: Brazil becomes the country with the second most Covid deaths in the world. USA Is still #1!,I baked a giant chocolate chip cookie this evening.  I can think of worse ways to deal with stress about the #coronavirus.  #bakingpic.twitter.com/aVLH9OKPhT
3,Nero? All Yrumpists know the drummer for the Beetles was. C'mon. Give a hard one. #coronavirus #COVID19 @POTUS #Resist,
