,Positive,Negative
0,3,0
1,RT @BogochIsaac: How we can focus health inequities exposed by #COVID19 to provide better care to heavily-impacted communities. A good read…,Send him a case of coronavirus. For him and his good ole boy's.
2,,"If I die it won't be due to the coronavirus, it will be due to lack of adequate healthcare services under the UCP government."
3,,"It's not herbal medicine versus vaccination. A holistic approach means they can work together. Mint for nausea, jewelweed for rashes, and vaccines for polio, whooping cough, and coronavirus.

https://buff.ly/2wjdErY pic.twitter.com/4XNrFJ0CuA"
4,,Fucking coronavirus!!! pic.twitter.com/UtmVaS2cfn
