,Positive,Negative
0,1,0
1,Where we stand in Canada: Reopenings by province and territory from coronavirus lockdown | SaltWire https://www.saltwire.com/news/canada/where-we-stand-in-canada-reopenings-by-province-and-territory-from-coronavirus-lockdown-443517/?utm_medium=Social&amp;utm_source=Twitter#Echobox=1588174846,
2,"More than 1,100 surgeries cancelled in P.E.I. because of coronavirus | SaltWire ",
