,Positive,Negative
23,RT @disclosetv: Footage of the People’s Armed Police marching into #XinFaDi wholesale market in #Beijing earlier today as parts of #China g…,
24,"RT @Ironhorse76: Let's get this show on the road!  FOLLOW ALL WHO: 

LIKE 
RT
COMMENT 

Nov will soon be upon us &amp; the #OrangeShitGibbon mu…",
25,"Yes and it’s likely that pneumonia was being classified as such, rather than something derived from the coronavirus.",
26,"Carry on with your meetings and events, but encourage alternatives to the handshake and offer ample hand sanitizer. At #HIPR hospitality showcase in New York. 
#eventprofs #coronavirus #bizbash @ Union Park Events https://www.instagram.com/p/B9VLhBZDwCd/?igshid=y9d3nxrdd4s5 …",
27,Get more coronavirus tests. No one cares about you grandpa but others have seniors they love.,
28,"To defeat coronavirus, we must first combat the mental afflictions — irrationality, conspiracy-mongering and Dear Leader-like devotion to Trump — spread by exposure to right-wing media. https://www.washingtonpost.com/opinions/2020/03/10/right-wing-medias-contempt-truth-has-never-been-more-dangerous/ …",
29,"More NBA players testing positive for #coronavirus  Lakers , Celtic",
30,3/20/20 Update to Coronavirus Advisory: We have one report of a performer with a presumptive case of coronavirus. https://www.freespeechcoalition.com/blog/2020/03/06/adult-industry-coronavirus-covid-19-advisory/ …pic.twitter.com/q6kttxZKAK,
31,Where Students Can Get School Meals In San Diego County During Coronavirus Shutdown https://www.kpbs.org/news/2020/mar/14/where-students-can-get-school-meals-san-diego-coun/ … via @KPBSnews,
32,Coronavirus Live Updates: Third Sailor In San Diego Contracts COVID-19 https://www.kpbs.org/news/2020/mar/17/coronavirus-live-updates/ … via @KPBSnews,
33,Five things to help stop the spread of coronavirus https://twitter.com/i/events/1239712380373708800 …,
