,Positive,Negative
0,2,1
1,"RT @antonioguterres: Saturday marks the 100-day countdown to #PeaceDay.

We are living through a difficult time, but we can turn the #COVID…",China Identifies New Strain Of Coronavirus As Source Of Pneumonia Outbreak https://forum.facmedicine.com/threads/china-identifies-new-strain-of-coronavirus-as-source-of-pneumonia-outbreak.46014/ …
2,RT @sarkodie: You guys got me on @JumiaGhana and I’m hooked 😊👌🏾 ... perfect way to shop without stepping out ... very essential in these #C…,"RT @jnyabor: One thing I wish #Ghana admits about its #COVID19 situation is that  there is an actual threat for the worse to happen.

There…"
3,"RT @ii_tunes: 😂😂 what were you expecting 

#Be2Sure 
#COVID19 
#nkemowoh https://t.co/n75eHBv9q3",
