,Positive,Negative
0,2,3
1,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…","Because the Doomocrats falsely predicted DOOM & over-hyped the Coronavirus, the STOCK MARKET CRASHED! Because they CRASHED the STOCK MARKET, it should FOREVER be known as the DEMOCRAT CRASH OF 2020!

The CORRUPT MEDIA caused the CRASH, they OWN IT! https://twitter.com/realDonaldTrump/status/1234225268207898627 …"
2,@coronavirus please let us have a regular Toronto summer,
