,Positive,Negative
0,1,0
1,"Trump to Trish Regan: China has coronavirus under control

https://www.foxbusiness.com/politics/trump-trish-regan-coronavirus-china …","10 percent of coronavirus patients with diabetes die within a week of hospitalization, new study finds "
