,Positive,Negative
0,3,1
1,RT @Agency21Pk: It was a pleasure to welcome the @dcislamabad @hamzashafqaat at our Head Office. He talked about the current #Corona situat…,New top story on Hacker News: Coronavirus outbreak likely now ‘gathering steam’ https://protipsss.wordpress.com/2020/02/11/new-top-story-on-hacker-news-coronavirus-outbreak-likely-now-gathering-steam/ …
2,,New top story on Hacker News: Exploration into the Origins of the Wuhan Strain of Coronavirus (2019-NCoV) https://protipsss.wordpress.com/2020/02/16/new-top-story-on-hacker-news-exploration-into-the-origins-of-the-wuhan-strain-of-coronavirus-2019-ncov/ …
3,,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
