,Positive,Negative
0,1,0
1,"RT @Vaishax: There is so much #women #farmers need in the form of rights &amp; support, but financial independence is one thing we can help the…","Well, it certainly is a success story for the coronavirus. A tragedy for the people who will die or who will lose their beloved ones without being even able to bury them. "
