,Positive,Negative
0,7,8
1,"Coronavirus: Ontario extends hydro rate relief, announces support measures for retirement homes http://dlvr.it/RXgWC1",Coronavirus: Pandemic forces Ontario justice system ‘stuck in the 1970s’ to modernize http://dlvr.it/RVjqNR
2,Coronavirus: Doug Ford says ‘relief’ coming on hydro rates as Ontarians told to stay home http://dlvr.it/RSKR3c pic.twitter.com/QByqNr8rBb,Saskatoon bakery offering $1 items for low-income residents during coronavirus pandemic http://dlvr.it/RVjjpY
3,,Coronavirus: How a Montreal veterinary clinic is navigating the pandemic http://dlvr.it/RXgkbK
4,,Coronavirus outbreak at Lloydminster Hospital declared over http://dlvr.it/RXgYwZ
5,,Coronavirus: Latest developments in the Greater Toronto Area on May 30 http://dlvr.it/RXgXNb
6,,"Officials will begin screening passengers arriving from central China, as more than 40 cases of the newly identified coronavirus have been confirmed in Asia. 

https://trib.al/KoQm0qj "
