,Positive,Negative
0,1,2
1,"Big, big difference. “A Chinese Coronavirus” versus “the Chinese Virus.” The latter a phrase that continues to not only offend millions of Asian-Americans...it also makes the USA less safe for them, unnecessarily so.","Microsoft details coronavirus impact, guides in-line Q4 - "
