,Positive,Negative
0,1,3
1,ah what? WHO lauds Sweden as a ‘model’ in coronavirus fight for resisting lockdown ,"Higher portion of people that get SARS die from it than the Coronavirus. More people get the Coronavirus, but not as high as a percentage that get it die."
2,"They are TRYING to get coronavirus infecting the population as quickly as possible. Once the number of deaths skyrocketed, they had to do it by stealth. Johnson is on the record as saying explicitly this. Economy before citizens' lives. Conservatism.",
3,I agree with him. They barely allowed the Stimulus Package through which our economy is only now slowing down due to #COVID19,
4,"RT @AmanKayamHai_ET: Jodhpur in Rajasthan has today crossed One Lakh tests -- 1,04,600 people tested in Jodhpur for #COVID19 

Bihar has te…",
