,Positive,Negative
0,1,0
1,"RT @SkyNews: BREAKING: A smiling Queen looks on at a scaled back military parade at Windsor Castle, in her first outdoor event since the st…","#FlowersFeedTheSoul, but #COVID19 is hurting the soul of the flowers industry. https://t.co/nKpwdBPY98"
