,Positive,Negative
0,2,0
1,"RT @GlobalDevPod: Popular support for most world leaders has increased in recent months. 

Some believe that women-led nations have been pa…",RT @switchtvkenya: Let's discuss this on Tuesday 16th June at 5pm LIVE on FACEBOOK (@switchtvkenya) with @MissTamima on #ShapingAfricanConv…
2,RT @filmaidkenya: #Dadaab humanitarian partners thank their donors in a unique way for their generous contribution towards mask production…,"RT @lindachepkwony6: Our team fed over 80 families,street kids and homeless at Umoja innercore near Tena Estate. Besides feeding,we also ta…"
