,Positive,Negative
0,0,1
1,"While @WHO so-called ""#publichealth"" is busy spreading phony claims against the overwhelming scientific consensus that #vaping is #harmless and prevents youth #smoking, the #coronavirus outbreak just went global. #defundWHOhttps://www.google.com/amp/s/www.bbc.com/news/amp/world-asia-51194651 …","Yes, but
1) #WHO is desperate to distract from the most recent in a lengthy string of catastrophic failures, i.e. the #coronavirus outbreak that just went global; and 
2) $270B per year is at stake pic.twitter.com/uV17Aco95X"
