,Positive,Negative
0,3,10
1,How Trump is exploiting the coronavirus chaos to hoard power and benefit personally https://www.rawstory.com/2020/04/how-trump-is-exploiting-the-coronavirus-chaos-to-hoard-power-and-benefit-personally/,New numbers released by China show coronavirus epidemic soaring as the outbreak continues to spread https://www.rawstory.com/2020/02/new-numbers-released-by-china-show-coronavirus-epidemic-soaring-as-the-outbreak-continues-to-spread/ …
2,"Top coronavirus model predicts 100,000 dead by the end of the pandemic's first wave this summer ",San Francisco declares coronavirus state of emergency as fear of COVID-19 grows https://www.rawstory.com/2020/02/san-francisco-declares-coronavirus-state-of-emergency-as-fear-of-covid-19-grows/ …
3,Coronavirus Has Trump Health Secretary in Trouble ,"Coronavirus: Italy closes schools, universities until March 15 as death toll climbs to 107 https://www.rawstory.com/2020/03/coronavirus-italy-closes-schools-universities-until-march-15-as-death-toll-climbs-to-107/ …"
4,Acting Navy secretary asks for further investigation into carrier stricken by coronavirus ,
5,Trump set to travel to Arizona next week amid push to lift coronavirus restrictions ,
6,Cruise Giant Carnival Works to Manage Deepening Coronavirus Crisis https://www.nytimes.com/2020/02/18/business/coronavirus-carnival-cruise-ships.html …,
7,Coronavirus forces fan ban at Italian football games https://www.rawstory.com/2020/02/coronavirus-forces-fan-ban-at-italian-football-games/ …,
8,‘We’re pretty soon only going to be 5 people’: Trump says he reduced risk of coronavirus by shutting down flights https://www.rawstory.com/2020/02/were-pretty-soon-only-going-to-be-5-people-trump-says-he-reduced-risk-of-coronavirus-by-shutting-down-flights/ …,
9,"For Trump, Coronavirus Proves to Be an Enemy He Can’t Tweet Away https://www.nytimes.com/2020/03/08/us/politics/trump-coronavirus.html …",
10,Ex-CDC director: worst-case scenario for coronavirus is 1.6 million Americans dead https://www.rawstory.com/2020/03/ex-cdc-director-worst-case-scenario-for-coronavirus-is-1-6-million-americans-dead/ …,
11,Coachella postponed until October over coronavirus fears https://www.rawstory.com/2020/03/coachella-postponed-until-october-over-coronavirus-fears/ …,
12,Trump tries to ease a nation increasingly rattled over Coronavirus https://news.yahoo.com/trump-tries-to-ease-increasingly-rattled-nation-234529191.html …,
13,‘Rand Paul is nuts’: Internet slams Kentucky Republican for obstructing coronavirus relief bill https://www.rawstory.com/2020/03/rand-paul-is-nuts-internet-slams-kentucky-republican-for-obstructing-coronavirus-relief-bill/ …,
14,"Ventilators, respirators, masks, gowns: Hospitals 'are all competing' to fill their shelves as wave of coronavirus cases approaches https://news.yahoo.com/ventilators-respirators-masks-gowns-hospitals-are-all-competing-to-fill-their-shelves-as-wave-of-coronavirus-cases-approaches-233125517.html …",
