,Positive,Negative
0,4,3
1,Seems completely possible that it could be like the Great Depression. #coronavirus https://twitter.com/amadril/status/1241147986995851266 …,"From the NYT , the possible cause of #CoronaVirus This is a “pangolin, an endangered, scaly, ant-eating mammal that is imported in huge numbers to Chinese markets for food.” I never even heard of one. Maybe eating endangered species is wrong#2019-nCOV #CaptainTrips2020pic.twitter.com/Y52keymaXO"
2,,This is scary af. And am sure everyone read that Senator Tom Cook (is that right?) said it’s a biological weapon #HappyTimes #Coronavirus #COVID2019https://twitter.com/InactionNever/status/1229534738240679938 …
3,,Milan has closed public offices. Milan is a big city. Venice cancelled #Carnivale. Doubt that has happened since the Bubonic Plague. Not good.#COVID19italia #coronavirus
4,,Wait. Does Russia have any #coronavirus cases?
