,Positive,Negative
0,1,2
1,RT @prashantchiguru: #TsGovtFailedItsPeople in providing better facilities to #COVID19 patients. Factual information on #CovidTesting is su…,RT @hfz_garcia: Cancel Phase 1. Go back to normal Circuit Breaker where everyone just can't go out and saman here and there. You see... SGe…
2,,"In Russia, the pandemic is denied. There's a stronger authoritarian rule; if Trump had more power, the USA would be at the same spot, not that the admittance of the problem helps.

Doctors are reported to use the code word for coronavirus: CHEBURASHKA (this thing). pic.twitter.com/HHUTDplHKT"
