,Positive,Negative
0,0,1
1,Disease outbreak news from the WHO: Novel Coronavirus – China https://ift.tt/2QKXmQ9 ,
2,Disease outbreak news from the WHO: Novel Coronavirus – Thailand (ex-China) https://ift.tt/2TpYaMa ,
3,Disease outbreak news from the WHO: Novel Coronavirus – Thailand (ex-China) https://ift.tt/2TA0lwW ,
4,Disease outbreak news from the WHO: Novel Coronavirus – Japan (ex-China) https://ift.tt/2G0J2gh ,
