,Positive,Negative
0,0,1
1,"You can also throw in the flu has a vaccine, covid19 does not. Though I’m not sure logic wins this argument. ","As HR teams make plans for the impact of #coronavirus #COVID19, it's vital we think about all the ways it might impact employees - PTO, remote work, travel, fear &amp; anxiety, and racism &amp; xenophobia. My latest @FastCompany goes deep. #21stcenturyhr #HR"
2,,"As HR teams make plans for the impact of #coronavirus #COVID19, it's vital we think about all the ways it might impact employees - PTO, remote work, travel, fear &amp; anxiety, and racism &amp; xenophobia. My latest @FastCompany goes deep. #SHRM #PeopleGeek"
