,Positive,Negative
0,1,0
1,"Is Newt Gingrich nuts, or perhaps living under a rock? It was President Trump & RW pundits who said repeatedly the Coronavirus was a ‘Democrat hoax” and just another way to “impeach this president.” They also said it was “much hysteria over nothing.”
#GOPLies #Coronavirus https://twitter.com/newtgingrich/status/1239607124843474945 …",
