"#coronavirus is an equal opportunity virus, "
"#CDC needs to be fully staffed, #coronavirus is not biased it just feeds"
"#coronavirus small spaces lots of ppl coughing, Trump gutted important public protection agencies over the last 3 yrs. He is taking over from the inside out."
