If not for this CoronaVirus palaver 
"Boris Johnson and the tories are culling the population. 16,000 new cases today and 215 new deaths. Please do not listen to him. #BorisJohnsonMustGo #Boris #BorisHasFailedUK #coronavirus #England #help"
What is this corona virus? 
"(2020.01.30) Here, the risk level has been raised from low to moderate by the UK’s chief medical officers after the World Health Organization declared the coronavirus outbreak a global public health emergency. #BBCNewsTen"
"(2020.01.30) The World Health Organization has declared the coronavirus outbreak in China a global health emergency. At least 170 people have now died and almost 8,000 have been infected. In the next hour, a chartered flight will evacuate 150 Britons from Wuhan. #BBCNewsTen"
@carmindabrendel goes into your latest post around #5G and #COVID19
RT @Redpeter99: Johnson hasn't a clue what's going on.  Like showing a chimp the wiring diagram from a Ford Mondeo.
"RT @COVIDNewsByMIB: #IndiaFightsCorona:

📍Can shoes spread the #COVID19 virus❓❓

↗️ The likelihood of #Coronavirus being spread on shoes an…"
RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
RT @ThatTimWalker: Damniing: Johnson disbanded the Cabinet pandemic team six months before #COVID19 hit the UK (to focus on Brexit). https:…
"RT @livemint: India has among the lowest per capita rates of testing in the world and many #covid19 deaths may not be reported 

(@neetu_cs…"
"RT @NavaMohanRao1: Get well soon Afridi.. 
This is not the way, you should not leave without Boom Boom 🔥🔥"
"RT @StephenMcDonell: In #Beijing a new cluster of #covid19 cases emanating from, wait for it, a seafood market. Footage appears to show hun…"
"She is right, women will be hit hard by this #Covid19 in fact so far they are the ones that are hit hard"
"RT @UNDP: ""Women &amp; #genderequality must be front &amp; center in order to achieve the #ClimatePromise and #BuildBackBetter from crises such as…"
RT @disclosetv: Footage of the People’s Armed Police marching into #XinFaDi wholesale market in #Beijing earlier today as parts of #China g…
"Delhi Govt, are you listening???"
"RT @WeFightFraud: Programming, coding and computing are great skills to learn.  But only if used safely and legally! #CyberSecurity #hack #…"
