"I don’t even care about Coronavirus now, they’ve just told us aliens are real."
"In Financial hardship and coronavirus pandemic related job loss, caused more pressure and burden for people to make ends meet and survive. You can’t commodify every single aspect of living and then not understand looting as a legitimate form of protest."
"@AmazonUK good to know you have ZERO protocol to stop parcels coming from #China or to protect your loyal customers ! ZERO help line/ practical advice , told to boil a package that’s already been opened in my house &amp; then HUNG UP ON #amazon #amazonuk #coronavirus @DailyMailUK"
one of the patients on the ward i work on casually had coronavirus as one of their infections and i embarrassed myself by asking someone if it was the same one on the news and it’s not bc there’s different strains 
You Will recover Legend InshAllah 🙏🏽
RT @SholaMos1: A special thank you to 6 Angels who reached out to me after seeing my offer of help below. We've never met before. Because o…
"RT @kiz4breakfast: #whiteOnWhite crime in our country I am appalled, how are you going to deal with this ????? I am scared to go outside  @…"
Oh damnnn🤲🏽
Duas for this absolute legend. He has solely been responsible for the happiness of a whole nation at times. May All… https://t.co/5Qmvaz8fow
"RT @kiz4breakfast: #whiteOnWhite crime in our country I am appalled, how are you going to deal with this ????? I am scared to go outside  @…"
