Vagrants seek shelter underground as coronavirus causes 90% drop in ridership. #FMTNews
2 Chinese tourists feared to have the coronavirus tested negative. #FMTNews #CruiseShio #Italy #Coronavirus 
Students from other provinces in China are allowed to register under close observation by learning institutions. #FMTNews #Coronavirus 
"More than 7,700 people have been infected with the virus and 170 have died. #FMTNews #Coronavirus #WHO #InternationalEmergency"
A woman who travelled to Wuhan recently passes virus to husband. #FMTNews #US #Coronavirus 
"Hundreds of thousands in S. Korea, Malaysia signed online petitions urging for China tourists to be barred. #FMTNews #Coronavirus "
It has the third highest number of cases in the world after the United States and Brazil. #FMTNews #Covid19 #Russia  https://t.co/aYjTimfC35
