Coronavirus: Why the fashion industry faces an ‘existential crisis’ 
Coronavirus: How does contact tracing work and is my data safe?: Millions in the UK will soon be asked to download an app that helps to limit coronavirus spreading. http://dlvr.it/RVjrrG
"Coronavirus: Why the fashion industry faces an ‘existential crisis’: ""No-one wants to buy clothes to sit at home in,"" as Next's chief executive Simon Wolfson puts it. "
Coronavirus: How does contact tracing work and is my data safe? 
"Coronavirus: NHS faces ‘massive’ challenge helping patients recover: Recovering patients may still experience weakness, breathlessness and anxiety, therapists say. "
"Trump’s order to open meat plants brings anxiety to one Iowa town where 90% of COVID-19 cases are tied to Tyson: Black Hawk County has more coronavirus cases than any county in Iowa. 90% of the 1,326 cases are tied to the Tyson pork plant that closed… http://dlvr.it/RVjqp8"
"Butcher: ‘Prices are going to rise’ during virus: Meat prices are rising for butchers, and the costs will be passed along to consumers. Meat sellers say price increases are inevitable due to supply chain issues amid the coronavirus outbreak. (April 29) … "
Coronavirus: NHS faces ‘massive’ challenge helping patients recover 
"Coronavirus: Deadline day for 100,000 tests pledge "
"Coronavirus Has Trump Health Secretary in Trouble: Alex M. Azar II has long been seen as a difficult personality in President Trump’s cabinet, but the pandemic has exacerbated personal clashes, putting him on thin ice. "
Coronavirus Has Trump Health Secretary in Trouble 
