BBC News - Coronavirus: Shielders in England allowed outdoors again from Monday 
Coronavirus: Shielders in England allowed outdoors again from Monday 
Thanks @geewizzgee1 for the article in this weekend’s EADT.
"RT @nealzetterpoet: Daily #POEMS - HUG - for those reuniting with family today (from my 2022 book).

@reading_realm @BookSuperhero2 @MissC_…"
"RT @trishgreenhalgh: Above all, don’t be poor."
"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/s1ewRoMy4j"
