Things to do after entrance of 2019 novel corona virus in PH: 1. Wear mask when out in the public. 2. Refrain from physical contact. 3. Vote wisely next election. ctto.
"Fuck, man! It surpassed the number of people infected by SARS back in 2003. #nCoV2020 #nCoV2019 #CoronaVirus "
Puta! The chills that I got from reading corona virus articles and posts on social media. Grabe!
"IF YOU WANNA KNOW MORE ABOUT THE NOVEL CORONAVIRUS, YOU GOTTA READ THIS!! "
"Stay safe, Stay protected. #coronavirus "
"There's only 1, but not too late, do something before it's too late - #coronavirus"
Spread awareness for COVID19 
"RT @lovea_bri: Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this $300-$3000 through CashApp, Appl…"
"RT @bsexii3: Due to #COVID19 aka #Coronavirus I’m sending the first 400 people to like &amp; retweet $400-$4,000 through CashApp, PayPal, Apple…"
