Vomissons tous en cœur: Of course Jared Kushner thinks of their coronavirus response as a “success story.” He probably thought the Holocaust was another “success story.” #JaredIsAnIdiot #TrumpGenocide
1. Generate virus 2. Generate drug 3. Let the virus spread 4. Create an environment of panic and fear 5. Put medicine on the market 6. Make a lot of money This whoever is going to be profitable has his finger in this business... #coronavirus #FauxNews #GOPLies
 and here’s Trump #COVID19 plan 
"How about we don’t cut the budget of the CDC, who fight real threats, and we do cut the budget of the useless Trump border wall, that fights fake threats? #COVID19 #BorderWall #gopdictatorparty2020"
"RT @Covid19Digest: Today's US 🇺🇸 #COVID19 numbers:
New cases: +27,221
New deaths: +791
Total cases: 2,116,922
Total deaths: 116,825
Total r…"
