New article by SpaceNews: Small Business Administration rule disqualifies many space startups from coronavirus relief loans https://spacenews.com/small-business-administration-rule-disqualifies-many-space-startups-from-coronavirus-relief-loans/ #space #spaceflight #news https://spaceflightnewsapi.net
"More than 99% of Italy’s coronavirus fatalities were people who suffered from previous medical conditions, according to a study https://www.bloomberg.com/news/articles/2020-03-18/99-of-those-who-died-from-virus-had-other-illness-italy-says via @bpolitics"
"Coronavirus could 'burn out naturally' so vaccine not needed, former WHO director claims https://news.yahoo.com/coronavirus-could-burn-naturally-vaccine-125931790.html?soc_src=hl-viewer&amp;soc_trk=tw via @YahooNews"
"Faced With Existential Threat to Their Rule, Chinese Leaders Decide to Save 11 Cities From Coronavirus Epidemic: Insider https://www.theepochtimes.com/faced-with-existential-threat-to-their-rule-chinese-leaders-decide-to-save-11-cities-from-coronavirus-epidemic-insider_3220421.html via @epochtimes"
I see that WHO do better to face Coronavirus compared to SARS
"RT @NEF: Let’s rebuild our society better than before with:

🏫Well-funded public services
⚖️A fair economy
🌎A Green New Deal

Join the move…"
