"S&P lowers Boeing's credit rating on coronavirus hit to earnings, cash flow https://www.reuters.com/article/us-boeing-ratings-s-p-idUSKBN22B3E2?taid=5eaa117fe21434000119f61c&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter"
Amazon is Wall Street's biggest winner from coronavirus https://www.reuters.com/article/us-amazon-stocks-idUSKBN22B2ZU?taid=5eaa117ee21434000119f61b&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter
"Returning to his village for Ramadan, Abdullah Al-Mabrur pitched a tent in a bamboo forest and went into a 14-day self-isolation, over concerns he might be carrying the coronavirus https://reut.rs/35fsiOl"
"After aggressive mass testing, Vietnam says it contains coronavirus outbreak https://www.reuters.com/article/us-health-coronavirus-vietnam-fight-insi-idUSKBN22B34H?taid=5eaa08d6d9c55b00011819f7&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter"
Pompeo pushes China to provide access to Wuhan labs over coronavirus outbreak https://www.reuters.com/article/us-health-coronavirus-usa-pompeo-idUSKBN22B1XA?taid=5eaa06ecd9c55b00011819e0&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter
"Spotify has enjoyed a surge in customers during the coronavirus outbreak, with the number of paying subscribers increasing to 130 million in the first quarter https://reut.rs/2yaJWXl"
Zimbabwe reopens tobacco auctions after coronavirus delay 
Florida governor excludes greater Miami from initial coronavirus reopening https://www.reuters.com/article/us-health-coronavirus-usa-idUSKBN22B23C?taid=5eaa0116e21434000119f5e0&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter
The United Kingdom now has Europe's second-highest official death toll from the coronavirus pandemic https://reut.rs/3aVl0AF
Yemen records multiple coronavirus cases for first time; U.N. fears more https://www.reuters.com/article/us-health-coronavirus-yemen-idUSKBN22B2CJ?taid=5ea9fe8f06bb9b0001402de7&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter
"A shipment of Russian ventilators that arrived in the U.S. at the height of the coronavirus crisis came without the FDA’s knowledge, a move that has drawn scrutiny from congressional Democrats https://reut.rs/3ch2SBU"
"U.S. CDC reports total of 1,737,950 coronavirus cases, 102,785 deaths https://www.reuters.com/article/us-health-coronavirus-usa-cdc-idUSKBN2360QQ?taid=5ed2e8f9710ac20001b0d219&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter"
Spain's daily coronavirus death toll drops to a handful https://www.reuters.com/article/us-health-coronavirus-spain-toll-idUSKBN2360KO?taid=5ed2df95710ac20001b0d1ec&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter
French coronavirus case numbers extend decline https://www.reuters.com/article/us-health-coronavirus-france-casualties-idUSKBN2360OY?taid=5ed2d3dcb4f701000163234c&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter
"Colombia will not ease quarantine in capital, cities hit hard by coronavirus https://www.reuters.com/article/us-health-coronavirus-colombia-idUSKBN2360MQ?taid=5ed2d02eb4f701000163233a&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter"
Spain's daily coronavirus death toll drops to a handful https://www.reuters.com/article/uk-health-coronavirus-spain-toll-idUSKBN2360NH?taid=5ed2cba8710ac20001b0d19e&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter
"Italy records 111 new coronavirus deaths, 416 new cases https://www.reuters.com/article/us-health-coronavirus-italy-tally-idUSKBN2360MW?taid=5ed2ba14b4f70100016322de&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter"
"U.S. CDC reports total of 1,737,950 coronavirus cases, 102,785 deaths https://www.reuters.com/article/us-health-coronavirus-usa-cdc-idUSKBN2360QQ?taid=5ed2b8e8b4f70100016322dd&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter"
U.S. stocks rebounded late to close higher on Thursday after the World Health Organization declared the China coronavirus a global emergency https://reut.rs/38YScGR
Markets are falling on fear the coronavirus will damage the global economy but Spartan Capital's chief market economist Peter Cardillo advises investors to wait a few weeks when economic data are released before making investment moves 
"The World Health Organization said it was declaring the China coronavirus outbreak that has killed 170 people in China a global emergency, as cases spread to 18 countries https://reut.rs/2U8x0da"
@WHO is apparently run by politicians not scientists. #coronavirus #covid19 
"RT @visualData9: #COVID19 Update: Breakdown of #coronavirus cases by continents.

Globally there are 7,743,169 confirmed cases, 3,346,636 a…"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
"A surge in #COVID19 deaths is expected in a few weeks.

Some ppl I know have tested positive for antibodies are pla… https://t.co/0uE2Da8Y2k"
