Plans to test coronavirus in community with 100000 self test kits | Health | Eastern Daily Press 
BBC News - Coronavirus: Trentham Estate puts its blooms online https://www.bbc.co.uk/news/av/uk-england-stoke-staffordshire-52458738/coronavirus-trentham-estate-puts-its-blooms-online For anyone who enjoys gardens worth a watch for some de stressing 
The government – not scientists – are responsible for the UK coronavirus death toll 
#COVID19 The government are not officially advising people not to go on holiday to Italy. Consequently if someone who has previously booked a holiday there cancels the holiday they are unable to get their money reimbursed by their insurance company.
"RT @DarrenEuronews: Top 5 countries 🌍 with highest number of #coronavirus cases

1. 🇺🇸 USA (Trump)
2. 🇧🇷 Brazil (Bolsonaro)
3. 🇷🇺 Russia (P…"
"RT @natalieben: Have asked govt what assessment made of how wildlife crime, including the illegal killing of raptors &amp; illegal use of traps…"
"RT @D_Raval: This is how seriously the Tories took preparing for a pandemic..
#COVID19"
Waiting to see if my prescription is ready before I phone the vicar today ; even when it's a repeat prescription ap… https://t.co/MCwl0I6TIl
