ah what? WHO lauds Sweden as a ‘model’ in coronavirus fight for resisting lockdown 
"They are TRYING to get coronavirus infecting the population as quickly as possible. Once the number of deaths skyrocketed, they had to do it by stealth. Johnson is on the record as saying explicitly this. Economy before citizens' lives. Conservatism."
I agree with him. They barely allowed the Stimulus Package through which our economy is only now slowing down due to #COVID19
"RT @AmanKayamHai_ET: Jodhpur in Rajasthan has today crossed One Lakh tests -- 1,04,600 people tested in Jodhpur for #COVID19 

Bihar has te…"
