Florida medical examiners were releasing coronavirus death data. The state made them stop 
"Corona Virus testing is FREE. If it is NOT Free in your area, you may have been misdirected in locating a real testing site, or there is possible FRAUD where 'testing' is happening. Look 4 your STATE Health Dept 'Testing Sites' from Gov website on Corona https://www.cdc.gov/publichealthgateway/healthdirectories/healthdepartments.html"
"Good grief. Rally opposing coronavirus restrictions draws activists, militia leaders to eastern Oregon "
This is his path to re-election. Destruction of our cities under the guise of calls for justice will erase his missteps with the #coronavirus.
"RT @CDCgov: As of June 8, forecasts suggest the total number of #COVID19 deaths will exceed 124,000 by July 4. Additionally, 6 states will…"
"RT @girlsreallyrule: I did a re-up on this piece, with an added intro for the people in Texas and Arizona and all of the states after them…"
"RT @AsianAmProject: .@WSJ reporting: NYC targeted travelers from China for #COVID19, completely missing those returning from Europe who end…"
"RT @peta: Slaughterhouses KILL both animals and workers! 

Local activist and PETA supporter Arianna is outside of a @JBSCareers slaughterh…"
"RT @OlympiaJoe: NEW: Washington isn't meeting its goal to complete broad testing of nursing home residents &amp; staff for coronavirus.

Goal w…"
