anyone saying Hillary Clinton would’ve stopped coronavirus has brain worms plain and simple
"Damn... i kinda hope they get infected with coronavirus,,, "
Rich people are responsible for spreading the coronavirus 
"just realized i called coronavirus ""miss rona"" in my reply to danielle WELL "
hate that coronavirus is happening rn because it makes these protests even riskier
"I’m not standing up for police here , but this is a anti vaxxer protesting against corona virus lockdowns when nsw was told if we leave the house and are caught without a valid reason we would be arrested"
She was literally protesting against the corona virus lockdown laws .
"in the uk it’s one of the main headlines but i’m that doesn’t mean people see it, coronavirus news has become its own section that’s always at the top of any news website and takes up most of news broadcasts. not many ppl off twt are talking about it"
"If I was a business owner watching 30 cities burning over the last 4 days, I would probably try and protect my investments too. Some of these folks barely survived the coronavirus shutdowns."
"i’m heading off for today,,, remember to stay safe for both coronavirus and protests if you’re going &amp; not to praise rich white men for doing the bare minimum &lt;3"
has everyone just forgotten that coronavirus exists or....???
hopefully the train will be empty tomorrow cause everyone is panicking about coronavirus
the first person i thought of when i heard about the coronavirus was u because of how much u would talk about thr plauge
"people are dying from the coronavirus and y’all are still being ignorant on this app making jokes about how it has the word ‘corona’ in it, like we’re 12"
everyone on twitter: influenza is more dangerous than the corona virus me: *vibes in i don't have a flu shot*
ive been coughing all day i swear my paranoid ass makes me think i have coronavirus
people think the corona virus is here in sa*t* cl*ri*a 
"#lrt a girl in my bestie‘s class (she’s at my art school too) said she’s a little afraid of the Chinese girl in their class bc she might have the corona virus Just imagine being that racist, delusional and prejudging "
so one of my friends messaged me 3 days ago saying he’d heard there were suspected cases of coronavirus in my hospital and he hoped i was ok.. so i replied immediately with an update and he still hasn’t read the message.. clearly ain’t that worried about me huh
"Don’t talk to me tomorrow. Katie Hopkins may have gotten suspended ( ), but Brexit is here. We still have 5 more years of the Tories. Piers Morgan is still on tv and Tommy Robinson and his fans are still a disease. The UK in 2020. Coronavirus cannot get us fast enough #brexiteve"
"can i just say that jokes abt corona virus is not even funny??? imagine making fun of a virus that kills people, yall just brainless at this point"
"if ever i get scared with this corona virus thing i just have to remember that i have lived through viruses. i have lived through bird flu, sars, ah1n1, swine flu, etc. what's another one, eh? i got this. i'm gonna be a clean and brave motherfucker."
@people who think the coronavirus is going to wipe out the human race: 
my little brother watching this stupid ass sml video and they just made a joke about asians and corona virus 
this is so fucking sick a 60 yr old chinese man had a heart attack in sydney’s chinatown but no one was willing to help bc they were afraid of coronavirus so he died on the street... absolutely disgusted by the sinophobia lately
"more people have died from the flu than the corona virus in the us this flu season so shut up, stop being racist, and wash your hands"
"this whole quadrant is ridiculous, am i supposed to believe murasakibara can cook??? and DOES COOK???? is he being quarantined bc of covid19???? "
"I think abt this a lot for #COVID19. For those who have worked in the service industry or have family who currently do, then I don’t have to explain just how difficult/impossible it is to “take off work” or “work from home”. Not possible w/o pay cut &amp; many just can’t afford that. "
RT @MileyCyrus: Italy🇮🇹 and the world united in solidarity with Black Lives Matter in the US. We must stay united to tackle #COVID19 and it…
Yup D12
"RT @priyadamini24: #Thread 🧵 

As India’s #COVID19 tally inches towards the 3 lakh mark, here is a thread of IMPORTANT CRUCIAL THINGS THE G…"
"RT @GrandmaSaidNo: Never forget that the US federal government is responsible for the high COVID-19 death toll on our Nation. 

The magnitu…"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
go off mr handsome
"RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…"
"RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
FTUJVFEUIK HE RESPONDED WTF I FUCKING LIVING IT
RT @CDCgov: #Employers: Antibody tests for #COVID19 should not be used to determine if someone can return to work. There is not enough info…
"RT @SalliePermar: As plans for school reopening are developed, will child-specific metrics be applied to decide what the school year will l…"
never thought id see our president chatting with miley cyrus tbh
"RT @SafeSpacesDC: If you're at a protest today &amp; experience increased cop-related exposure, report it to the #COVID19 Policing Project: the…"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
MILEY MENTIONING MY PRESIDENT WHAT THE-
