Senator Sherrod Brown calls Trump's coronavirus response 'incompetent' and 'immoral' 
"@SpeakerPelosi @LeaderHoyer @RepJeffries Wow wow wow How much lower can they go? This is the most disgusting thing, next to kids in dog cages etc. from this Administration! God Help Us. White House Gift Shop Selling Coronavirus Commemorative Coins https://www.tmz.com/2020/04/29/white-house-gift-shop-selling-commemorative-coronavirus-coins-covid-19-trump/ via @TMZ"
How about news outlets not ask Trump any questions during the Coronavirus press briefings. Only ask the experts. We already know the nonsense that’s going to come out of his mouth...
Organizers are trying to figure out how to let the tennis tournament go ahead amid the coronavirus crisis. https://trib.al/7GJx2Ef
Support small business ! Tom own Snowdonia and it’s always been my go to spot! 34-55 32nd st Astoria Ny!! @snowdoniapub #bestburgers #kimchiburger #citylife #nyc #astoria #quarantinelife #coronavirus #quarantinelife… https://www.instagram.com/p/CA1JVw8D4Lx/?igshid=jf0av84plzp5
my neighbors really decided coronavirus was over bc they wanted frosé wow
"I'm not offended, because the news coverage last night did not mention one thing about coronavirus while covering the roots Lot of cops without masks. They all came off when they started fighting. And I don't think does masks can protect you while brawling"
"The governor also called for an end to ""inequality in healthcare,"" with new testing sites in minority communities hit hard by coronavirus. https://trib.al/LNgm8ji"
Neither is the coronavirus. Oh and now it’s ok to riot @georgesoros we see you 
"Daniel I love you, but to blame the entire pandemic on President Trump, and then to blame the “tanking” economy on him (the same economy that was thriving prior to the Chinese Corona Virus) is naive and irresponsible. Not saying he has reacted perfect, but cannot fully blame him."
"Gov. Andrew Cuomo speaks out about ""inequality in healthcare"" and announces 10 new testing sites across coronavirus hotspots in New York. https://trib.al/BJnGScm"
"I was for 15 cases of coronavirus going to 0 cases. I was all for coronavirus disappearing like a miracle. I was all for the coronavirus being ""under control"" or ""contained"". I was all for lots of things that Trump was for. The problem was that it was his usual propaganda"
The number of people who've gotten the Wuhan coronavirus just surpassed the worldwide total of the entire SARS pandemic http://dlvr.it/RP4sjK
WHO Calls Emergency Coronavirus Meeting as Cases Surpass SARS Outbreak http://dlvr.it/RP4s2w
Chinese residents face jail if they slam country’s coronavirus response http://dlvr.it/RP4s2j
Coronavirus Grounds Flights to China From 3 Continents. How Scared Should Travelers Be? http://dlvr.it/RP4rsG
American Airlines pilots sue to halt China flights amid coronavirus crisis http://dlvr.it/RP4r5l
Russia closes border with China to prevent possible coronavirus spread http://dlvr.it/RP4k2z
"This is what you get when you mix politics and public health... It will be improper for Philippine authorities to ban the entry of travelers from China on account of the novel coronavirus outbreak, Senator Bong Go said on Thursday. "
North Korea cuts off trade with China on fears of coronavirus http://dlvr.it/RP4fpW
World Health Organization Declares International Emergency over Coronavirus http://dlvr.it/RP4dpj
"Coronavirus now a global health emergency, World Health Organization declares http://dlvr.it/RP4dgf"
"Some US businesses restrict travel to China, close stores because of coronavirus http://dlvr.it/RP4dgD"
World Health Organization Declares Spread of Coronavirus a Global Health Emergency http://dlvr.it/RP4dQ9
The Coronavirus Outbreak Is Now a Public Health Emergency of International Concern. Here’s What That Means http://dlvr.it/RP4dQ2
Coronavirus: WHO declares global emergency http://dlvr.it/RP4dJZ
A Timeline of How the Wuhan Coronavirus Has Spread—And How the World Has Reacted http://dlvr.it/RP4dJX
WHO declares deadly coronavirus outbreak a 'global emergency' as epidemic gains pace http://dlvr.it/RP4dJT
World Health Organization declares coronavirus a global health emergency http://dlvr.it/RP4dGG
China will punish officials who slack off in fighting coronavirus http://dlvr.it/RP4dF7
"The coronavirus outbreak is now a global health emergency, WHO says http://dlvr.it/RP4dDK"
World Health Organization declares coronavirus an international public health emergency http://dlvr.it/RP4dC7
Oreo maker Mondelez says coronavirus could hurt sales in first quarter http://dlvr.it/RP4d7k
"so, short and sweet, nothings working, and we're still allowing flights from hotbeds of a contagious deadly virus, with no known vaccine, to freely fly in and out of our most populated cities, to date the united states has tested 425 people for #covid19"
"so, short and sweet, nothings working, and we're still allowing flights from hotbeds of a contagious deadly virus, with no known vaccine, to freely fly in and out of our most populated cities, to date the united states has tested 425 people for covid19"
"tick tock tick tock to date the united states of america has, officially, tested 425 people for #covid19"
"New update on a whistleblower, covid19 "
RT @QuickTake: Beijing shut down its largest wholesale vegetable market after detecting new #coronavirus cases among a few business owners.…
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
RT @SylvesterTurner: Thank you @CNNTonight’s @donlemon for having me on to explain the measures and messages we are sharing to help Houston…
"RT @olusogaowoeye: If Buhari had not being an upright man,if Asiwaju had not stood up to them,if #COVID19 had not happened,Oshiomole would…"
RT @AJLemmaIII: Big thank you to @LeroyComrie and his team for their partnership and introducing us to the good people at Briarwood Family…
@zybowskipjr @yesikasilvana @jonyiquest @SheevaE @balleralert @NYPD114Pct Then she can pay for my therapy and anyon… https://t.co/ExeozPQvV0
