Coronavirus was created to keep tik tok dances out of bars
"the man didn’t come back to class this week and today we found out he had the coronavirus, protect this man at all costs "
Facebook sees strong user growth as coronavirus pandemic creates uncertainty http://twib.in/l/59adkpoELB9G via @ric9871ric #retweetplease #news
Coronavirus out here like 
You ain’t going there with the coronavirus 
"What if they deliberately mishandled COVid19, so that we would all willingly give up our freedoms-no gatherings? It feeds into the left's 'bumbling Trump' narrative so it's instantly perceived as truth. We're then fed our news thru the TV and social media, up until the election."
