There probably won’t be one as as a coronavirus manipulates and changes
"RT @StefSimanowitz: 18/. It is clear that @BorisJohnson has never had a strong grip on the science.

This footage of him on his return from…"
"#Covid19 has caused many carers to feel isolated, the pressures of their role have increased&amp; they haven’t been abl… https://t.co/18fp7LwaiT"
RT @bbctms: From everyone here @bbctms we wish you a speedy recovery Shahid.
"RT @davidshukmanbbc: A SAGE document just released confirms the scientific advice about social distancing guidance: ""...best current eviden…"
"RT @redsonya241: Should the @Conservatives government be held to account for the avoidable death toll of #COVID19? 

Is it genocide when th…"
"RT @DioceseofDerby: Individual prayer in churches: what are the rules?
Having revised the date that churches may open for private prayer to…"
