"RT @AutoRaja1212: Another BJP MP and Karnataka state ministers showing their solidarity for #coronavirus are captured in these photos 🙄

A…"
"The distress is real , undiminishing and widespread ! Here is us trying to make sense of things and recommending wh… https://t.co/AagtPexZLj"
"RT @drapr007: #Retweet if you want capping in treatment charges of #Covid19 in private hospitals so that Common people can bear it.

@drhar…"
