Coronavirus updates: 100 bodies found in trucks outside NYC funeral home - ABC News 
West Point cadets returning for Trump told many will have coronavirus - Business Insider 
Trump during Michigan USMCA speech says U.S. has coronavirus very well under control and is working with China.We think it's going to have a very good ending for us. That I can assure you. 
Trump on coronavirus from China: 'We have it totally under control!!! without cured and control over a virus 
World Health Organization declares coronavirus outbreak a public health emergency 
