,Positive,Neutral,Negative
35,,"63% of our poll respondents planning to return to worksites are considering ""staggered returns"" such as employee la… https://t.co/vbqUDRe9bC","Check out our episode from 2/3/20 where we feature the latest industry news on the topics of the week including the Corona Virus, Renaissance Hotels, Chuck E Cheese, Ambiente and much much more!
#TabletopMatters @ChuckECheese @ambientepic.twitter.com/sJjMiD0cGQ"
36,,".@AAHealth has new hours for drive-through #COVID19 testing at the Health Annex in #Annapolis. For appointments, ca… https://t.co/8mxrJuMT1s","As usual, @johniadarola says it best. What I personally am most worried about is not necessarily the coronavirus, but that we’re being ‘informed’ by an administration that, since Day 1, has been hell-bent on providing Americans disinformation.

It may be much worse than we think. https://twitter.com/TheYoungTurks/status/1233539871181963266 …"
37,,Another drive-up #COID test in Anne Arundel County today in #Annapollis,"This week’s episode features the latest industry news, topics, and people including a recap of Ambiente 2020, our take on the Corona Virus, Revol Porcelaine, Walk-On Sports Bistreaux’s new non-profit foundation and much much more!!
@ambiente
#TabletopMatterspic.twitter.com/2hCUedVvWx"
38,,"RT @picardonhealth: By failing to test and trace properly, Canada is still flying blind on #COVID19: @globeandmail editorial https://t.co/Q…",S.Korea Coronavirus Cases Go Exponential As New Infections Soar By 70%; 10 Towns In Northern Italy Put On Lockdown | Zero Hedge https://www.zerohedge.com/geopolitical/cases-covid-19-south-korea-double-overnight-alarming-prison-outbreak-reported-china?utm_campaign=&utm_content=ZeroHedge%3A+The+Durden+Dispatch&utm_medium=email&utm_source=zh_newsletter …
39,,"#COVID19: PG @CEXAlsobrooks announced on Thurs, the County would move into a modified Stage 2 Mon, 6/15, at 5p. Sta… https://t.co/VATS81bdI6",RT @DrEricDing: WELP. Tokyo reports 24 new #COVID19 cases as capital sees 20-plus infections for third straight day. Japan just recently li…
40,,"RT @LaurelCityOEM: #COVID19: PG @CEXAlsobrooks announced on Thurs, the County would move into a modified Stage 2 Mon, 6/15, at 5p. Stage 2…","RT @SkyNews: BREAKING: A smiling Queen looks on at a scaled back military parade at Windsor Castle, in her first outdoor event since the st…"
41,,Spoiler: it’s frightening,RT @ChildCareRelief: A recent survey from @ColoradoKidsOrg found that Colorado could lose up to 55% of its total child care access as a res…
42,,Excited that our volunteer efforts are recognized through mini-grant awarded by America's Promise Alliance. Looking… https://t.co/dTCArHbGF9,RT @mugecevik: The story is a little more complicated than “stay 6 feet away” guidelines. Coronavirus risk is simply not one-dimensional. W…
43,,Looking for the latest #news and notes from #Annapolis? The @Conduit_St_Pod has you covered! #MDPolitics #MDGA20… https://t.co/dTnKetB0IP,"RT @TravelingUS: #ECONOMY

#SWAT

LET US REMIND YOU @realDonaldTrump &amp; @larry_kudlow the AMERICAN PEOPLE CAN SLOW OR SHUT DOWN THE ECONOMY…"
44,,CDC may reimplement strict coronavirus rules if cases go up 'dramatically' #Covid19 https://t.co/gfi4dwE5wx,"RT @Boulder_Tim: Hey #MAGA ...still think that #COVID19 is a hoax?

https://t.co/coHjI7RjhD"
45,,"RT @GovLarryHogan: Maryland has now completed 483,826 #COVID19 tests, including 10,555 in the past 24 hours. The statewide positivity rate…","RT @ROHLL5: .@realDonaldTrump 

If Roger is jailed it will be a death sentence for him. 

Everyone knows Epstein didn’t kill himself. We fe…"
46,,"@JaniceDean @pnjaban Yes. It was known that #COVID19 was spread human-to-human &amp; the elderly were most at risk. So,… https://t.co/BpyGPIXe7v","RT @CDCgov: As of June 8, forecasts suggest the total number of #COVID19 deaths will exceed 124,000 by July 4. Additionally, 6 states will…"
47,,"RT @GovLarryHogan: Maryland has now completed 483,826 #COVID19 tests, including 10,555 in the past 24 hours. The statewide positivity rate…","RT @JustTheNews: #COVID19 cases and deaths in the U.S. are continuing on a steady, months-long downward trend, even with fears of a ""second…"
48,,"If your students are curious about #coronavirus, see @DiscoveryEd resources below.https://twitter.com/DiscoveryEd/status/1234168031514963974 …","Yeah what is Coronavirus...Glorified bronchitis...If not, why be so crazy about it"
49,,"Coronavirus = population control , stay woke people","Had a similar experience in Australia! My son needed to see a doctor for a bad cold (pre Coronavirus) and the doctor & nurses kept apologizing that they would have to charge us. I was expecting hundreds of dollars, it was about $55 US for the visit & medication."
50,,Guess I’ll hold off on planning my family cruise until this man made Coronavirus goes away,I’d be mad as shit if I had bought tickets for some type of event just for it to be cancelled by this fake ass corona virus
51,,"The media should be demanding a daily count, The # of tests administered versus the # of newly diagnosed cases.  It’s the only way to put the spread rate in perspective.  #coronavirus","@CBSNews so sorry to watch your Corona virus coverage, talk about preventions, virus droplet life!!!"
52,,"CDC lab for coronavirus test kits may have been contaminated

https://flip.it/A1gUh_ ","""You have a greater chance of being murdered by the Zodiac killer than dying from coronavirus."""
53,,Coronavirus is polling higher than Tulsi.,"#Dow drops, #deaths rise, #travel stops, plus more updates on #coronavirus consequences today https://siouxcityjournal.com/news/national/dow-drops-deaths-rise-travel-stops-plus-more-updates-on/article_064a1399-9405-5a72-93ab-ce1e5fd0fb37.html …"
54,,The flu has killed far more people than coronavirus. So why all the frenzy about COVID-19? https://www.latimes.com/science/story/2020-03-05/flu-killed-more-people-coronavirus-covid-19 …,They say corona virus came froma bat that infected a slaughtered pig. Yall still muching on these piggies
55,,"THIS WEEK’S COVER: In an effort to reduce the spread of Coronavirus, Towson University has suspended all study abroad programs and is taking strides to educate the campus community. 
http://thetowerlight.com/towson-responds-to-coronavirus-outbreak/ …","It’s not “Chinese propaganda” when the media tells the truth (unlike Hannity who claimed the #coronavirus was a hoax). 

If you don’t want to deal in facts, then maybe Fox News has a position for you."
56,,What does Jared have to do with the Coronavirus? We don’t have time for him to read 25 books.,"#coronavirus
#TrumpLiesAboutCoronavirus 
""Trump admin defends the use of 'Chinese virus' despite its dangerous, racist implications""https://twitter.com/i/events/1240355116596617216 …"
57,,nytimeswell: Coronavirus Has Caused a Hand Sanitizer Shortage. What Should You Do? https://nyti.ms/2IDhzTh ,
58,,A @BestofSNO article about the coronavirus cases in MCPS: https://sno.buzz/33496C4 ,
59,,"Sign Petition: Prioritize the Safety and Health of ALL, Regardless of Immigration Status, in #Coronavirus Response --> https://ctt.ec/0nSf0+ ",
