,Positive,Neutral,Negative
0,0,Friday 28 February #COVID19 update from @MOHBahamas,10
1,"Bro wtf. All this rioting and marching, did we cure coronavirus?!","“An unprecedented amount of knowledge has been generated in 6 weeks,” says @JeremyFarrar, head of the @wellcometrust In @sciencemag, @kakape explores how #COVID19 and new tech—Slack, Twitter, preprint servers—are changing how scientists communicate. ","RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…"
2,"Some smart person needs to model the economic consequences of the Chinese Plague.
#coronavirus",#RumorControl PHA refutes reports of Coronavirus case in The Bahamas. pic.twitter.com/EWXXsYuWME,"RT @GrandmaSaidNo: Never forget that the US federal government is responsible for the high COVID-19 death toll on our Nation. 

The magnitu…"
3,"Say goodbye to ""The Love Boat"". #coronavirus https://twitter.com/genteonline/status/1229550390372335616 …","China is the Main Enemy. Russia is a sideshow.
#Coronavirus
https://www.wsj.com/articles/beijing-faults-u-s-stance-on-coronavirus-11581014266 …",The coronavirus doesn't scare me. I remember when the Treasury allowed a $1 trillion investment bank to default on its debts.
4,"Remember when your mom told you that ""fresh air"" was healthful. Well we are re-learning that lesson. Stale air can kill you.
#coronavirus","Coronavirus at the gym, Corona in the fridge.","False, #coronavirus was just a trigger, the stock market has long been artificially inflated by irresponsible monetary policies."
5,Trump needs to put the #coronavirus under a czar such as Pence. Fire the head of the CDC. https://twitter.com/kr3at/status/1231361748873158656 …,You can't understand the #coronavirus if you don't understand epistemology.,"The sky is falling.
On an average day, 8000 Americans die from something. The #coronavirus will be invisible in the mortality statistics. This is pure hysteria. https://twitter.com/GeorgiaLogCabin/status/1241512295911444481 …"
6,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…","Hey out there, can some actual epidemiologist compare the #coronavirus R0 and fatality rate to the H1N1 Spanish Flu?
@DrEricDinghttps://twitter.com/BreakingNAsia/status/1228103841385717761 …",
7,"RT @PeterHotez: Looking like any hope for high temps, humidity, sunlight to mitigate #covid19 not working for us, at least in this first wa…","About to join @News12LI for a live call-in panel on COVID-19 #Coronavirus.

Tune in now! pic.twitter.com/JYtFK6oXZ3",
8,Have to be smart! Let the March continue and let’s see what else will happen,The coronavirus stopping everything but jobs and bills aye,
9,"We should follow Italy’s lead on this, end community spread. stop letting corporate America run the show #Coronavirus",,
10,@ErinBurnett It will  be interesting if European countries put a ban on  Trump because he was exposed to Coronavirus.,,
11,"#coronavirus update:

FLA Rep @MarioDB becomes first member of congress to test positive for #COVID19 

Our thoughts and prayers are with him at this time.

#COVID2019 #covid #bluekeyrxhttps://twitter.com/MarioDB/status/1240409251471937537 …",,
