,Positive,Neutral,Negative
58,"Take my wish, have a strong recovery 💪",We are heading towards herd immunity. #COVID19 #Bangladesh,
59,Get well soon Lala!,"RT @QFA_EN: The #Qatar 🇶🇦 national team staff and players arrived at the team hotel and began undergoing #COVID19 tests, before the start o…",
60,"RT @FirozSRKian_: Hero Real Life In Reel Life
I Superhero ❤🙌

King Khan has contributed a whopping 100cr+ for #COVID19 and #CycloneAmphan!…","I am looking graphic design job. I will do Trifold, 
bifold brochure or Flyer and postcard or catalog or restaurant… https://t.co/he75RuKHM3",
61,"Former #HealthMinister of #Bangladesh , Mohammed Nasim died today who was on life support and he once tested… https://t.co/m4BTRXn8cn",Get Will u soon insha'allah. 😥🙏🤲,
62,Please everyone pray for him...He is one of my favourite cricketer... Inshallah he will get well soon...,"US-Bangla brings back 151 Bangladeshis stranded in Malaysia https://t.co/eKIjySmAVo 

#US_Bangla #Covid19 #CoronaUpdates #bd #bangladesh",
63,Get well soon lala,#covid19 #StayHomeStaySafe #logo_design #minimalist #unique #creative #business_logo #Need_a_logo #looking_for_logo… https://t.co/w1wuRddBGn,
64,Get well soon... ❤️,Brother get well soon because  There are still a lot of poor people looking at you,
65,"In shaa Allah you will be fine 
🤲🤲🤲","As the rest of the world is recovering or improving from #COVID19, here in #Bangladesh things are worsening day by… https://t.co/Mss1o9nO9F",
66,,"RT @AlHakamWeekly: Waqfe Nau &amp; Chemistry teacher, @1FowadAhmed at the Ahmadiyya College, Kano, Nigeria explains how #COVID19 has caused fur…",
67,,iPhone #0613FM_0613 seokjin joonie Bangladesh #7yearsToEternityWithBTS #design #COVID19 #China #logo #graphicdesign… https://t.co/WIQiUT17y1,
68,,RT @NewAgeBDcom: #Bangladesh tops #China in #COVID19 infection https://t.co/UMKl1L5i1D,
69,,"#Covid19: #Bangladesh surpasses China with 84,379 confirmed cases, deaths top 1,100 https://t.co/SEbWlD33Jv",
70,,May Allah recovered you as soon as possible @SAfridiOfficial sir ❤,
71,,RT @DKentCAN: 👇🏼Op-Ed by 🇨🇦Ambassador to #Bhutan @nadirypatel on Canada’s  #UNSC priorities. https://t.co/y1mRc2mPRv,
72,,"""Stocks Surge as Central Banks Vow to Act on Coronavirus Impact"" by The New York Times pic.twitter.com/vWw7MGVJQv",
73,,Google says its cloud conference will only be held virtually as coronavirus spreads pic.twitter.com/Xe5Ov9IigO,
74,,"""They didn't mean to be violent, they were scared. Information wave went out of hand""
Report by @NBCNews
#CoronaVirus #COVID19 #Ukrainehttps://www.nbcnews.com/news/world/how-coronavirus-disinformation-caused-chaos-small-ukrainian-town-n1146936 …",
75,,Myths and facts about the coronavirus https://www.weforum.org/agenda/2020/02/coronavirus-myths-facts-questions-world-health-organization/ … via @wef,
76,,What to Know About Coronavirus If You Have Asthma http://dlvr.it/RSCb9v ,
77,,"Coronavirus Striking Plenty of Young People, Too http://dlvr.it/RSCb8S ",
78,,Coronavirus testing kits to be developed using RNA imaging technology http://dlvr.it/RSGwmD ,
79,,Coronavirus testing kits to be developed using RNA imaging technology http://dlvr.it/RSGwmD ,
80,,What to Know About Coronavirus If You Have Asthma http://dlvr.it/RSCb9v ,
81,,"Coronavirus Striking Plenty of Young People, Too http://dlvr.it/RSCb8S ",
