,Positive,Neutral,Negative
15,#Pakistan is now in the Top 10 with most active #Covid cases. And this is only for the ones being reported. May Allah almighty help us. Aameen. #coronavirus #CoronaVirusPakistan #Covid_19,"Well, not just the United States. It chose to unleash global mayhem..... BBC News - Coronavirus: ‘China is not the enemy of the United States' ",The World Health Organization (WHO) has warned that a new mystery deadly Coronavirus virus in China could spread worldwide. Pakistan needs to step up in terms of health certificates from people travelling from China and other countries where it has spread.
16,Coronavirus: Belgian Prince Joachim tests positive after lockdown party https://www.bbc.co.uk/news/world-europe-52864072,"CGSS has published an article titled, ""How coronavirus could change the current world order and the role of the World Health Organization"" by Ms. Zahra Zahid Durrani CGSS Ambassador (Peshawar) and MPhil Student, University of Peshawar. To view: http://cgss.com.pk/paper/pdf/How-…","New coronavirus strain has caused alarm because of its connection to Severe Acute Respiratory Syndrome
 https://tribune.com.pk/story/2140430/3/ …pic.twitter.com/mJ4qrpeLMw"
17,So no in cage interviews this time then? Btw this will be like 4th UFC event since coronavirus became a global pandemic so my question is why hasn’t NBA started yet? What are they waiting for? ,Agree or Not? #NewDayNewWay #faadithoughts #IrrfanKhan #Legend #remdesivir #Hitman #SeizeTheLightSpoilers #COVID19 #Covid_19 #irfankhanactor #Pakistan #poetry #CoronavirusLockdown #coronavirus ,"China’s mysterious coronavirus: Govt issues health advisory
#ARYNewshttps://arynews.tv/en/china-mysterious-coronavirus-govt-issues-health-advisory/ …"
18,"A spike in harassment of Asian-Americans since the coronavirus pandemic began has led community activists in the U.S. to fight back —rallying on social media, supporting each other online and forming street patrols.. ",Coronavirus could leave HALF the world's workforce unemployed https://mol.im/a/8271213 via @MailOnline,"Chinese officials break into wildlife markets when coronavirus epidemic approaches 3,000 cases https://instant.com.pk/2020/01/chinese-officials-break-into-wildlife-markets-when-coronavirus-epidemic-approaches-3000-cases/ …pic.twitter.com/3pIXi4uWRv"
19,"Coronavirus Showed How Globalization Broke the World Do unto others as you wish them to do unto you, because more people in more places in more ways on more days can now do unto you and you unto them like never before ",Matriculation pass Governor Sindh @ImranKhanPTI’s statement that Sindhis’ are illiterate &amp; while visiting Sindh he got #coronavirus. This is the statement of a very mentally ill person. He has to apologize to the people of Sindh #GovernorSindhMustResign,"Chinese authorities share FIRST PHOTOS of deadly coronavirus.

The first close-up images of the deadly coronavirus which has killed at least 26 people and infected some 830 others in China’s Wuhan have been released.

#Pakistan #Health #coronavirus pic.twitter.com/4aXxT5odCB"
20,Chinese coronavirus vaccine could be ready by year-end ,"#Pakistan coronavirus confirmed cases:15525 12238 cases in last 25 days 26-2 1st case 24-3 1000 31-3 2039 5-4 3287 7-4 4074 11-4 5038 14-4 5985 16-4 7016 18-4 7993 20-4 9216 22-4 10,513 23-4 11155 24-4 11940 26-4 13328 27-4 13909 29-4 15525 ",Well done Mr.President. You have deep concern about the Corona virus outbreak in the China and the precautionary measurements taken place to stop and investigate this deadly Corona Virus which is really threat to the lives of the other countries people including China. https://twitter.com/dcexaminer/status/1220833417518075904 …
21,BBC News - Coronavirus: Backlash after Trump signals US exit from WHO ,Oscars to admit streamed films next year as coronavirus upends movie going - https://breakingnewspak.com/oscars-to-admit-streamed-films-next-year-as-coronavirus-upends-movie-going/ #Pakistan,"Is the Wuhan coronavirus outbreak threatening Xi's hold on power? @AJENews https://aje.io/e8wnc 
Analysts debate whether China's leader will emerge from crisis unscathed, or face political and social instability."
22,"Rightly said, Sir. Quitting smoking can actually help protect against coronavirus. And. Thankyou for your kind words and encouragement, they mean a lot and we truly appreciate it :)","Coronavirus began spreading in the US in January — predating President Trump’s travel restrictions and the detection of community transmission, CDC says ",Coronavirus news and real-time updates: the global death toll of Coronavirus rises to almost 500 https://instant.com.pk/2020/02/coronavirus-news-and-real-time-updates-the-global-death-toll-of-coronavirus-rises-to-almost-500/ …
23,"4/4 5) For *A- blood* 03224664551 , 03066640094 6) For *B- blood* 03026609743. Thanks to Dr Babar Butt(Associate Professor) *kindly, must donate your plasma if you have been coronavirus patient, only Convalescent Plasma #COVID19Pakistan #Covid_19 #Pakistan",BBC News - Coronavirus: Italy's Tower of Pisa reopens after three months shut ,"Coronavirus threat reaches schools as UK warned crisis 'will get worse before it gets better' https://www.telegraph.co.uk/news/2020/02/11/coronavirus-super-spreaders-links-schools-sparks-panic-brighton/ …
Frantic efforts launched to trace everyone local scout leader had contact with after it emerges he infected five people in Brighton"
24,"03244786111 4) For *0+ blood* : 03315519033 , 03097902717 , 03054532257 5) For *A- blood* 03224664551 , 03066640094 6) For *B- blood* 03026609743. *kindly,must donate your plasma if you have been coronavirus patient,only Convalescent Plasma(having antibodies against Covid-19) ","#Schools not to reopen from june 1, says #Sindh #Education #Department, #Pakistan. Keep visiting http://gofrixty.com for updates. #coronavirus #schoolreopening #SchoolTimes #COVID19Pakistan #CoronavirusLockdown",Lebanon confirms first coronavirus case as death toll hits 4 in Iran https://www.arabnews.com/node/1631166#.XlBm3MQa140.twitter …
