,Positive,Neutral,Negative
10,RT @DhiTaxiDrivers: We can never thank you enough.. @HPA_MV @doctormaldives @mabrouq @MNDF_Official @PoliceMv,"RT @srinivasiyc: If Maharashtra Government can do this,
Who is stopping Delhi Government ?",Corona virus is the Scapegoat of the century
11,"RT @hashimex: Appreciation and respect 🙏❤🇲🇻
#Covid19 @HPA_MV https://t.co/T9FiDeSHBV","RT @nazim7878: As we approach to a new normal due to #COVID19, my gratitude is to all the essential &amp; frontline workers who has done incred…",May Allah SWT protects us all from the coronavirus and other dangerous deceases. Aameen 
12,Wish u a speedy recovery Insha Allah ♥️🏏,"RT @ARC_maldives: With your donations, ARC AID has reached 139 children &amp; their families in Fuahmulah City, including single parents, famil…",Breakin: first suspected case of corona virus in Maldives
13,Call on @MoFmv to factor in social protection system when all funds are now being rediverted because of #Covid19. E… https://t.co/f8gG3lDVhZ,RT @HaswellUN: Join in all! Our new virtual reality increases the opportunities for dialogue locally in 🇲🇻 and globally🌎. Connect &amp; share y…,Click the link for the latest updates of suspected case of Corona Virus found in the #Maldives.
14,RT @ShafeeaRiza: Call on @MoFmv to factor in social protection system when all funds are now being rediverted because of #Covid19. Ensuring…,A previous draft proposal indicated travelers would need to present a medical certificate confirming proof of a neg… https://t.co/nrjEs7qzRk,WHO: New coronavirus behind mystery pneumonia | NHK WORLD-JAPAN News https://www3.nhk.or.jp/nhkworld/en/news/20200115_03/ …
15,Be Smart & inform yourself about #coronavirus,"RT @nazim7878: As we approach to a new normal due to #COVID19, my gratitude is to all the essential &amp; frontline workers who has done incred…",preventive measures for.corona virus https://twitter.com/Moxamedalu/status/1218734906378833920 …
16,,"RT @ImmigrationMV: Latest update on the evacuation process, amidst #Covid19. https://t.co/4KBospUd24","U.S., South Korea weigh scaling back training over coronavirus concerns http://feeds.reuters.com/~r/Reuters/worldNews/~3/b-1S23BtovM/u-s-south-korea-weigh-scaling-back-training-over-coronavirus-concerns-idUSKCN20I2NE?utm_content=socialchamp-ADgjCR33&utm_medium=social&utm_source=twitter.com&utm_campaign=socialchamp.io …"
17,,"RT @ImmigrationMV: Latest update on the evacuation process, amidst #Covid19. https://t.co/4KBospUd24",Iraq extends ban on Iran arrivals amid coronavirus fears https://www.aljazeera.com/news/2020/02/iraq-extends-ban-iran-arrivals-coronavirus-fears-200222190721462.html?taid=5e51bd199f8d1600019a504a&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter …
18,,"RT @nazim7878: As we approach to a new normal due to #COVID19, my gratitude is to all the essential &amp; frontline workers who has done incred…","Concern over coronavirus spread as cases jump in South Korea, Italy and Iran http://feeds.reuters.com/~r/Reuters/worldNews/~3/-hWun32FzX8/concern-over-coronavirus-spread-as-cases-jump-in-south-korea-italy-and-iran-idUSKCN20H03U?utm_content=socialchamph9FdGUSro&utm_medium=social&utm_source=twitter.com&utm_campaign=socialchamp.io …"
19,,"RT @meenakshisharan: A #Hindu businessman, from Dadu,  #Sindh Pakistan, Kewal Ram ji was found #COVID19 positive, unfortunately he didn’t s…","RT @AFPphoto: #Coronavirus #COVID19 #China #Beijing
Fresh virus cluster in China raises fears for pandemic control.
📸 GregBaker #AFP https:…"
20,,"RT @antonioguterres: #COVID19 has highlighted the threats posed by the unchecked use of digital technology - surveillance, human rights abu…","RT @presidencymv: As lockdown enters the next phase of easing, limit going out only for essentials, practice physical distancing &amp; hand hyg…"
21,,"#Throwback, one year ago today, after dinner chat with Prof.Grey &amp; Dr.Ambuj at The 7th China - South and Southeast… https://t.co/ItmoJiqwpV",
22,,"RT @ImmigrationMV: Latest update on the evacuation process, amidst #Covid19. https://t.co/4KBospUd24",
23,,RT @CGTNOfficial: Beijing shuts wholesale market linked to seven new #COVID19 cases https://t.co/pU2Ob8lgsJ,
24,,"the way the media’s carrying on, they’ll be a lot of angry people if they don’t get #coronavirus. swindled. https://twitter.com/vizcomic/status/1237885558992433155 …",
