"Be informed. Before you travel, check out these Myth Busters about the Coronavirus from @WHO #2019nCoV #COVID19 https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters"
U.S. to screen passengers for new China coronavirus at 3 airports https://reut.rs/37febJb 
There sure are a lot of movies I'm looking forward to seeing from the isolation of my living room. #coronavirus
"Coronavirus concerns lead to canceled ballet show in Norfolk, changes at the airport #Airporthttp://bit.ly/2TiF7ld "
"Gold prices jumped above $1,700 on Monday, hitting a seven-year high as a coronavirus-fueled sell-off pushed investors into safer assets. 

OG$ Point - Gold Hits $1,700 today hitting a 7 year high. Still expecting… https://www.instagram.com/p/B9iD50VnBBd/?igshid=9phihxf8m1nz …"
