Please Don't Use Coronavirus as an Excuse to Lean Into Racism 
What Is the Coronavirus's R0 and Why Does It Matter? https://buff.ly/3aPilt5 pic.twitter.com/bbyXMUBldD
Coronavirus Has Now Killed More People Than SARS https://buff.ly/2Sbx9eh 
