Coronavirus Pandemic: A Call to Action for the Robotics Community - IEEE Spectrum https://spectrum.ieee.org/automaton/robotics/medical-robots/coronavirus-pandemic-call-to-action-robotics-community#.Xnaqco3kW1U.twitter …
An Official WHO Coronavirus App Will Be a “Waze for COVID-19” - IEEE Spectrum https://spectrum.ieee.org/the-human-os/biomedical/devices/who-official-coronavirus-app-waze-covid19#.XnaqVn_vuJA.twitter …
Coronavirus Pandemic: A Call to Action for the Robotics Community - IEEE Spectrum https://spectrum.ieee.org/automaton/robotics/medical-robots/coronavirus-pandemic-call-to-action-robotics-community#.Xnaqco3kW1U.twitter …
An Official WHO Coronavirus App Will Be a “Waze for COVID-19” - IEEE Spectrum https://spectrum.ieee.org/the-human-os/biomedical/devices/who-official-coronavirus-app-waze-covid19#.XnaqVn_vuJA.twitter …
