"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
"1) individuals panic buying hand sanitizers don’t have a 6-pack of hand sanitizers on their amazon monthly auto-delivery subscription, and it shows 

2) hand sanitizers kill bacteria, not viruses. corona virus is a VIRUS 

3) wash  your  hands  with  soap  pic.twitter.com/K4UAobxmC0"
