"For saying on air, that the Coronavirus death count was inflated to hurt Trump"
GOP Senator Calls On Elected Officials To ‘Lead By Example’ And Follow Coronavirus Guidelines N. Carolina Sen. Thom Tillis’ remark came the same day Vice President Mike Pence refused to wear a mask while visiting the Mayo Clinic AS REQUIRED. Doesn't leadership begin at the top?
"When you say ""Nothing can stop what's coming""

Are you referring to the news that stock futures tumbled 4% on coronavirus fears in pre-market trade?

Or that nothing can stop  Coronavirus Epidemic that is
not just coming.....it's already here.

So why are you playing a violin?"
