We Wuz Kannnngggzzz
"RT @europeaid: The #coronavirus pandemic has made poverty and inequalities more evident. Children are the ones that suffer the most. 

On #…"
RT @vdwnico: Update of the #covid19 in #Belgium : the trend is still a slow decrease of the number of patients in hospitals and prevalence…
"RT @francediplo_EN: #COVID19 
Travel restrictions to France from European countries will be lifted from 15 June, except:
By ✈️from 🇪🇸: rest…"
"RT @VinceGW: 👇 Very short blog to recap how the #Eurosystem responded to the #COVID19 crisis: adjustment of our #credit operations, further…"
Well....maybe this coronavirus is onto something  https://twitter.com/SeriesUpdateFR/status/1237890343191764998 …
