Dirty money piling up in L.A. as coronavirus cripples international money laundering 
"There's a good chance the Wuhan coronavirus will never disappear, experts say. There are only 3 possible endings to this story.
https://www.businessinsider.com/wuhan-coronavirus-mild-pandemic-how-it-could-end-2020-2 …"
"Death toll for new coronavirus hits 805, exceeding that of SARS - https://www.cnbc.com/2020/02/09/coronavirus-china-death-toll-for-new-virus-exceeds-that-of-sars.html …"
"Wuhan coronavirus gets a new official name
Chinese officials said that the virus would temporarily be named the Novel Coronavirus Pneumonia, or NCP.
https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-09-20-intl-hnk/h_38c750758363ebbb5e87c06e5a0b91c5 …"
"Protests are now under control and everyone we needed to round up is accounted for...so now...
China reports large drop in new coronavirus cases in province at heart of outbreak
https://www.reuters.com/article/china-health-idUSL4N2AJ09Y …"
"It could never happen here...?
A Coronavirus Quarantine in America Could Be a Giant Legal Mess
https://www.theatlantic.com/ideas/archive/2020/02/coronavirus-quarantine-america-could-be-giant-legal-mess/606595/ …"
"Oh no....I think scare tactics may be working...
Chinese doctors: Coronavirus can reinfect people, and the second infection can lead to heart failure
https://www.theblaze.com/news/2020/02/17/chinese-doctors-coronavirus-can-reinfect-people-and-the-second-infection-can-lead-to-heart-failure/amp …"
Spiking or #Mushrooming?
"MAR 11 2020 - Dow plunges 10% amid coronavirus fears for its worst day since the 1987 market crash

MAR 16 2020 - The Dow Just Had Its Second-Worst Day Ever"
"MAR 11 2020 - Dow plunges 10% amid coronavirus fears for its worst day since the 1987 market crash

MAR 16 2020 - The Dow Just Had Its Second-Worst Day Ever"
"MAR 11 2020 - Dow plunges 10% amid coronavirus fears for its worst day since the 1987 market crash

MAR 16 2020 - The Dow Just Had Its Second-Worst Day Ever"
"MAR 11 2020 - Dow plunges 10% amid coronavirus fears for its worst day since the 1987 market crash

MAR 16 2020 - The Dow Just Had Its Second-Worst Day Ever"
