"@narendramodi @ImranKhanPTI @MoHFW_INDIA Please act before it is too late. If nothing happens, somewill say it was unnecessary alarm. But if the pandemic happens( which experts are warning on Coronavirus) the cost in human lives will be catastrophic. https://twitter.com/titto27909768/status/1231213104857526274 …"
"@MoHFW_INDIA  Being busy with their jobs, lulled into a false sense of security by cable tv, modernity- people, governments globally are greatly underestimating the destruction potential of Coronavirus. The chances of a pandemic are increasing day by day. Take precautions now!"
"@ImranKhanPTI  Being busy with their jobs, lulled into a false sense of security by cable tv, modernity- people, governments globally are greatly underestimating the destruction potential of Coronavirus. The chances of a pandemic are increasing day by day. Take precautions now!"
"@narendramodi  Being busy with their jobs, lulled into a false sense of security by cable tv, modernity- people, governments globally are greatly underestimating the destruction potential of Coronavirus. The chances of a pandemic are increasing day by day. Take precautions now!"
