"Corona virus ?
I prefer PBR virus myself https://twitter.com/49erCarlos/status/1220848296027029504 …pic.twitter.com/lmiOQkAJtH"
"RT @FreeRadioRevolu: CAPTAIN AMERICA PREDICTIVE PROGRAMMING?
https://t.co/iD0L4fnaMS
#coronavirus #COVID19 #COVID__19 #COVIDIOT #CaptainAme…"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
This damn coronavirus crap cancelled my trip to Gatlingburg this weekend
