"January 22, 2020: U.S. screenings for the coronavirus at airports in Atlanta and Chicago https://www.washingtonpost.com/nation/2020/01/21/us-screenings-coronavirus-expanded-airports-atlanta-chicago/?outputType=amp …"
"February 4, 2020: 2nd Maryland patient being tested for coronavirus https://wtop.com/health-fitness/2020/02/2nd-md-patient-being-tested-for-coronavirus/ …"
"""At least 20 people aboard cruise ship quarantined in Japan diagnosed with coronavirus""  https://twitter.com/i/events/1224562228654817280 …"
"""Coronavirus: Death toll crosses 560 as number of confirmed cases grows""  https://twitter.com/i/events/1219057585707315201 …"
"(February 17, 2020) Coronavirus Updates: Cruise Ship Passengers, Some Infected, Flown Back to U.S. https://www.nytimes.com/2020/02/17/world/asia/china-coronavirus.amp.html …"
"February 21, 2020: 1st case of coronavirus confirmed in Sacramento County, officials say https://www.kcra.com/amp/article/1st-case-coronavirus-confirmed-sacramento-county-officials-say/31045071 …"
"(February 23, 2020) Coronavirus Live Updates: South Korea Raises Threat Alert Level https://www.nytimes.com/2020/02/23/world/asia/china-coronavirus.amp.html …"
